"","Analysis","Calculus 1","Calculus 2","Caps","Complex","Linalg1","Linalg 2","Nummat 1","Ode","Prob","Stat","Statr"
"1035",NA,9.5,9,NA,NA,9.5,NA,NA,NA,NA,NA,NA
"1036",NA,4,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"1037",NA,9,6,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"1038",NA,8.5,6.5,NA,NA,8,NA,NA,NA,NA,NA,NA
"1039",NA,7.5,7,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"1040",3,7,1.5,1.5,NA,7.5,2,NA,NA,3,NA,NA
"1041",NA,7,6.5,NA,NA,7,NA,NA,NA,NA,NA,NA
"1042",NA,9,9,NA,NA,9.5,NA,NA,NA,NA,NA,NA
"1043",NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1044",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1045",NA,8.5,6,NA,NA,8,NA,NA,NA,NA,NA,NA
"1046",NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1047",NA,7,7,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1048",NA,9.5,9.5,NA,NA,9.5,NA,NA,NA,NA,NA,NA
"1049",NA,7.5,1.5,NA,NA,6,NA,NA,NA,NA,NA,NA
"1050",4.5,9,6.5,7,NA,7.5,7.5,NA,NA,3,NA,NA
"1051",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1052",NA,6.5,6,NA,NA,6,NA,NA,NA,NA,NA,NA
"1053",NA,8,6.5,6,NA,9,7,NA,NA,NA,NA,NA
"1054",NA,8,5,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1055",NA,7.5,8,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1056",NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
"1057",NA,8.5,9,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"1058",NA,8.5,6.5,8,NA,9,NA,NA,NA,NA,NA,NA
"1059",6,9.5,8.5,6.5,NA,8.5,8,NA,NA,6,NA,NA
"1060",NA,6,4,NA,NA,3,NA,NA,NA,NA,NA,NA
"1061",NA,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1062",NA,8.5,7.5,NA,NA,6,NA,NA,NA,NA,NA,NA
"1063",NA,6,1,NA,NA,5,4.5,NA,NA,NA,NA,NA
"1064",NA,8,3.5,NA,NA,7,NA,NA,NA,NA,NA,NA
"1065",NA,8.5,9.5,NA,NA,9,NA,NA,NA,NA,NA,NA
"1066",7,9.5,10,7,NA,9,8.5,NA,NA,7.5,NA,NA
"1067",NA,5,3.5,NA,NA,6,NA,NA,NA,NA,NA,NA
"1068",NA,4.5,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA
"1069",NA,7,4,NA,NA,4,NA,NA,NA,NA,NA,NA
"1070",NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"1071",NA,9.5,7,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1072",NA,9,9.5,NA,NA,9.5,NA,NA,NA,NA,NA,NA
"1073",8,9,9.5,9,NA,10,8,NA,NA,NA,NA,NA
"1074",NA,9.5,9.5,NA,NA,9.5,NA,NA,NA,NA,NA,NA
"1075",NA,7,6,NA,NA,7,NA,NA,NA,NA,NA,NA
"1076",7.5,8,9,8.5,NA,8.5,9,NA,NA,7,NA,NA
"1077",NA,7,6,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1078",NA,7,6,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1079",NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080",NA,8,6,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1081",2,6.5,3,NA,NA,5,NA,NA,NA,NA,NA,NA
"1082",NA,7,2,NA,NA,5,NA,NA,NA,NA,NA,NA
"1083",NA,6.5,2.5,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"1084",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1085",NA,7,6,NA,NA,6,NA,NA,NA,NA,NA,NA
"1086",NA,8,9,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1087",NA,8,4.5,NA,NA,8,NA,NA,NA,NA,NA,NA
"1088",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"1089",NA,9,7,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1090",NA,8,6,NA,NA,7,NA,NA,NA,NA,NA,NA
"1091",NA,8,6.5,NA,NA,4,NA,NA,NA,NA,NA,NA
"1092",NA,5,3,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1093",NA,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1094",7.5,8.5,8.5,8,NA,8,7.5,NA,NA,6.5,NA,NA
"1095",NA,8.5,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1096",NA,8.5,8.5,NA,NA,8,NA,NA,NA,NA,NA,NA
"1097",NA,8.5,6.5,NA,NA,9,NA,NA,NA,NA,NA,NA
"1098",7.5,8,9,8.5,NA,8.5,7,NA,NA,6.5,NA,NA
"1099",NA,9,9,NA,NA,10,NA,NA,NA,NA,NA,NA
"1100",NA,8,4,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1101",NA,8.5,6,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"1102",NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1103",7,9,8,7.5,NA,6.5,8,NA,NA,6.5,NA,NA
"1104",NA,9.5,1,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1105",NA,9,6,NA,NA,4,NA,NA,NA,NA,NA,NA
"1106",NA,7,6,NA,NA,6,NA,NA,NA,NA,NA,NA
"1107",NA,5,2.5,NA,NA,6,NA,NA,NA,NA,NA,NA
"1108",NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1109",NA,7.5,3,NA,NA,6,NA,NA,NA,NA,NA,NA
"1110",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1111",NA,8,7,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1112",NA,8,7,NA,NA,9.5,NA,NA,NA,NA,NA,NA
"1113",NA,6,5,NA,NA,7,NA,NA,NA,NA,NA,NA
"1114",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1115",7,9,9.5,8.5,NA,9,10,NA,NA,7,NA,NA
"1116",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1117",6,7.5,6,2.5,NA,7.5,7,NA,NA,2.5,NA,NA
"1118",NA,8.5,7,NA,NA,7,NA,NA,NA,NA,NA,NA
"1119",NA,8,9,NA,NA,8.5,NA,NA,NA,NA,NA,NA
